"","data_product","data_table","data_column","variable","data_type","questions"
"298","ISCNTemplate","layer","bd_tot","bulk_density","value_number","NA"
"299","ISCNTemplate","layer","bd_whole","bulk_density","value_number","NA"
"300","ISCNTemplate","layer","bd_other","bulk_density","value_number","NA"
"301","ISCNTemplate","layer","ph_method","ph","method","NA"
"302","ISCNTemplate","layer","ph_cacl","ph","value_number","NA"
"303","ISCNTemplate","layer","ph_h2o","ph","value_number","NA"
"304","ISCNTemplate","layer","ph_other","ph","value_number","NA"
"305","ISCNTemplate","layer","caco3","caco3","value_number","NA"
"306","ISCNTemplate","layer","sand_tot_psa","sand","value_number","NA"
"307","ISCNTemplate","layer","silt_tot_psa","silt","value_number","NA"
"308","ISCNTemplate","layer","clay_tot_psa","clay","value_number","NA"
"309","ISCNTemplate","layer","wpg2_method","coarse_fraction","method","NA"
"310","ISCNTemplate","layer","wpg2","coarse_fraction","value","NA"
"311","ISCNTemplate","layer","cat_exch","cation_exchange_capacity","value_number","NA"
"312","ISCNTemplate","layer","gwc","gravimetric_water_content","value_number","NA"
"313","ISCNTemplate","layer","vwc","volumetric_water_content","value_number","NA"
"314","ISCNTemplate","layer","soc","soil_organic_carbon","value_number","NA"
"315","ISCNTemplate","layer","soc_type","soil_type","value_factor","NA"
"316","ISCNTemplate","layer","soc_sigma","soil_organic_carbon","sigma","NA"
"317","ISCNTemplate","layer","soc_method","soil_organic_carbon","method","NA"
"318","ISCNTemplate","layer","c_tot","total_carbon","value_number","NA"
"319","ISCNTemplate","layer","c_method","total_carbon","method","NA"
"320","ISCNTemplate","layer","oc","carbon_organic","value_number","NA"
"321","ISCNTemplate","layer","c_method","carbon_organic","method","NA"
"322","ISCNTemplate","layer","n_tot","nitrogen_total","value_number","NA"
"323","ISCNTemplate","layer","c_to_n","carbon_to_nitrogen","value_number","NA"
"324","ISCNTemplate","layer","loi","loss_on_ignition","value_number","NA"
"325","ISCNTemplate","layer","root_quant_size","root_quant_size","value_string","???type"
"326","ISCNTemplate","layer","root_weight","root_weight","value_number","NA"
"327","ISCNTemplate","layer","15n","15n","value_number","NA"
"328","ISCNTemplate","layer","13c","13c","value_number","NA"
"329","ISCNTemplate","layer","rc_lab","radiocarbon_lab","value_string","NA"
"330","ISCNTemplate","layer","rc_lab_number","radiocarbon_lab_number","value_number","NA"
"331","ISCNTemplate","layer","rc_year","radiocarbon_lab_year","value_number","NA"
"332","ISCNTemplate","layer","14c","14c","value_number","NA"
"333","ISCNTemplate","layer","14c_sigma","14c","sigma","NA"
"334","ISCNTemplate","layer","14c_age","age","value_number","NA"
"335","ISCNTemplate","layer","14c_age_sigma","age","sigma","NA"
"336","ISCNTemplate","layer","fraction_modern","fraction_modern","value_string","type??"
"337","ISCNTemplate","layer","fraction_modern_sigma","fraction_modern","sigma","NA"
"338","ISCNTemplate","layer","textureClass","soil_texture_class","value_factor","NA"
"339","ISCNTemplate","fraction","site_name","site","id","NA"
"340","ISCNTemplate","fraction","cluster_name","cluster_name","id","NA"
"341","ISCNTemplate","fraction","profile_name","profile_name","id","NA"
"342","ISCNTemplate","fraction","layer_name","layer_name","id","NA"
"343","ISCNTemplate","fraction","fraction_name","fraction_name","id","NA"
"344","ISCNTemplate","fraction","fraction_number","fraction_number","value_string","NA"
"345","ISCNTemplate","fraction","labeled_addition","labeled_addition","value_string","NA"
"346","ISCNTemplate","fraction","fraction_scheme","fraction_scheme","value_string","NA"
"347","ISCNTemplate","fraction","fraction_property","fraction_property","value_string","NA"
"348","ISCNTemplate","fraction","fraction_scheme_units","fraction_scheme","unit","NA"
"349","ISCNTemplate","fraction","fraction_type","fraction_type","value_string","NA"
"350","ISCNTemplate","fraction","fraction_agent","fraction_agent","value_string","NA"
"351","ISCNTemplate","fraction","fraction_note","fraction_note","value_string","NA"
"352","ISCNTemplate","fraction","fraction_c_perc","fraction_carbon_percent","value_number","NA"
"353","ISCNTemplate","fraction","fraction_mass_perc","fraction_mass_percent","value_number","NA"
"354","ISCNTemplate","fraction","oc","carbon_organic","value_number","NA"
"355","ISCNTemplate","fraction","c_method","carbon_organic","method","NA"
"356","ISCNTemplate","fraction","c_tot","total_carbon","value_number","NA"
"357","ISCNTemplate","fraction","c_method","total_carbon","method","NA"
"358","ISCNTemplate","fraction","n_tot","nitrogen_total","value_number","NA"
"359","ISCNTemplate","fraction","c_to_n","carbon_to_nitrogen","value_number","NA"
"360","ISCNTemplate","fraction","loi","loss_on_ignition","value_number","NA"
"361","ISCNTemplate","fraction","15n","15n","value_number","NA"
"362","ISCNTemplate","fraction","13c","13c","value_number","NA"
"363","ISCNTemplate","fraction","rc_lab","radiocarbon_lab","value_string","NA"
